sub,Pain_Genuine_Expressional_Q1,Pain_Genuine_Neutral_Q1,Pain_Pretended_Expressional_Q1,Pain_Pretended_Neutral_Q1,Pain_Genuine_Expressional_Q2,Pain_Genuine_Neutral_Q2,Pain_Pretended_Expressional_Q2,Pain_Pretended_Neutral_Q2,Pain_Genuine_Expressional_Q3,Pain_Genuine_Neutral_Q3,Pain_Pretended_Expressional_Q3,Pain_Pretended_Neutral_Q3,DCM_genuine_modulatory_parameter,DCM_pretended_modulatory_parameter
1,6.117647059,0,6.333333333,0,6.625,0,0.055555556,0.222222222,4.941176471,0.055555556,1.411764706,0,-0.82785,-0.848
2,7.666666667,0,7.722222222,0,7.722222222,0,0,0,6.722222222,0,6.588235294,0,-1.07795,-0.4987
3,6.611111111,0,6.333333333,0,6.666666667,0,0.222222222,0,6.333333333,0,5.647058824,0,-0.8977,-1.00115
4,7.588235294,0,6.5,0,7.941176471,0,0,0,7.294117647,0.222222222,2.941176471,0,-0.637,-1.1687
5,6.176470588,0,6.222222222,0,6.117647059,0,0,0,4.833333333,0,2.375,0,-0.8012,-0.91675
6,6.777777778,0.222222222,6.176470588,0,7,0,0.222222222,0,7.055555556,0.222222222,5.411764706,0,-1.25365,-1.6391
7,6.111111111,0,5.944444444,0,5.888888889,0.222222222,0,0,6.222222222,0.235294118,4.611111111,0,-0.8478,-0.9344
8,5.764705882,0.294117647,5,0,5.785714286,0,1.117647059,0,5,0,2.8125,0.222222222,-0.97895,-0.56005
9,7.944444444,0,6.882352941,0,7.555555556,0,0.944444444,0,7.333333333,0,1,0,-0.80855,-0.89665
10,6.222222222,0,6.5,0,6.111111111,0,0.588235294,0,6.888888889,0,0.111111111,0,-0.83085,-0.7749
11,4.166666667,0,4,0,4.111111111,0.222222222,0,0,4.166666667,0,2.705882353,0.055555556,-0.8158,-0.88645
12,6.833333333,0.222222222,6.388888889,0,5.833333333,0,0.941176471,0,6.5,0.111111111,5.75,0.055555556,-0.90625,-1.2961
13,6.666666667,0.055555556,7.166666667,0,5.888888889,0,0,0,1.444444444,0,0.333333333,0.166666667,-0.81855,-0.781
14,7.5,0,7.333333333,0,7.055555556,0,0,0,7.388888889,0,7.111111111,0,-0.87345,-0.85715
15,6.888888889,0,7.055555556,0,6.5,0,0.6875,0,5.055555556,0.111111111,1.941176471,0,-0.77185,-1.0395
16,6.277777778,0,4.9375,0,6.222222222,0,0.823529412,0,5.444444444,0,2.294117647,0,-0.65365,-1.3433
17,6.5,0.055555556,7.222222222,0,5.8125,0,0,0,5,0.444444444,2.944444444,0.277777778,-0.77275,-0.8598
19,5,0,4.066666667,0,4.8,0,0.222222222,0,4.111111111,0,1.941176471,0,-1.01155,-1.7225
20,4.333333333,0,4.5,0,4.333333333,0,0.222222222,0,1.833333333,0,1.333333333,0,-1.69,-1.3115
22,6.647058824,0.055555556,5.529411765,0.555555556,7.611111111,0,1.666666667,0.277777778,7,2.666666667,5.117647059,3.111111111,-0.69165,-1.11755
23,6.166666667,0,5.444444444,0,5.833333333,0.222222222,0,0,4.333333333,0,2.111111111,0,-0.86865,-0.704
25,4.5,0,4.222222222,0,4.058823529,0.055555556,0.222222222,0.111111111,0.333333333,0,0,0,-0.75145,-1.07445
26,5.722222222,0,6.111111111,0,6.5,0,0,0,5.388888889,0.555555556,1.777777778,0.055555556,-0.75405,-1.05745
27,6.888888889,0,6.555555556,0,6.5,0,0.666666667,0,5.277777778,0,4.647058824,0,-1.26105,-1.71825
28,6,0.0625,5.470588235,0.055555556,4.705882353,0,0.833333333,0,5.823529412,0,4.277777778,0.222222222,-0.7308,-0.3968
29,3.944444444,0,4,0,3.882352941,0,3.352941176,0,4.058823529,0,3.333333333,0,-0.84035,-0.803
30,5.882352941,0,6.444444444,0,5.944444444,0,0,0,1.388888889,0,1.055555556,0,-0.8131,-0.88825
31,7,0.333333333,6.941176471,0.117647059,7.055555556,0.166666667,0.111111111,0.055555556,6.277777778,0.176470588,1.111111111,0.5,-0.8068,-0.90555
33,6.055555556,0.111111111,6.444444444,0.055555556,5.722222222,0.055555556,0.388888889,0,4.555555556,0.055555556,3.888888889,0,-0.79135,-0.79595
35,6.777777778,0.055555556,6.166666667,0.055555556,7.166666667,0,0,0,6.055555556,0,5.411764706,0,-0.88295,-0.5421
36,6.944444444,0,2.333333333,0,7.352941176,0,0.166666667,0,7.166666667,0,0,0,-0.5021,-0.7411
37,7.222222222,0,6.555555556,0.055555556,7.055555556,0,0,0,6.777777778,0,4.235294118,0,-0.6231,-1.01935
38,7.277777778,0,6.722222222,0,7.470588235,0,0,0,7.055555556,0,2.888888889,0,-0.0614,-0.00255
39,5.277777778,0,5.722222222,0,6,0,0.055555556,0,4.588235294,0,2.388888889,0,-0.5929,-2.1486
40,4.055555556,0,3.944444444,0,4.444444444,0,0.111111111,0,2.833333333,0.666666667,1,0.277777778,-0.7472,-0.8378
41,6.944444444,0,5.823529412,0.166666667,7,0,0.058823529,0,6.555555556,0,2.111111111,0,-0.63485,-1.30525
42,7.055555556,0,6.722222222,0,7.555555556,0,0,0,5.388888889,0,0.222222222,0,-0.70075,-1.11765
43,5.882352941,0,6.823529412,0,7.277777778,0,0,0,4.294117647,0.222222222,0.833333333,0,0.00895,-0.0138
44,6.611111111,0,5.444444444,0,6.888888889,0,0.111111111,0,4.055555556,0,2.722222222,0,-0.7614,-0.89
45,6.166666667,0,5.388888889,0,4.823529412,0,0.588235294,0,3.611111111,0,0.722222222,0,-0.8945,-0.69225
47,6.611111111,0,6.277777778,0,6.388888889,0,0,0.055555556,6.333333333,0,4.555555556,0,-0.7692,-0.68375
48,5.5,0,5.222222222,0,5.666666667,0,0.5,0,4.5,0,1.444444444,0,-0.6386,-1.0613
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
